,domain,region,source,resolution,has_topo,has_bathymetry,horizontal_crs,vertical_datum,vertical_datum_conversion,priority,metadata_url,vrt_url,stac_catalog_url
0,pr-usvi,pr ,ncei_cudem,3 m,TRUE,TRUE,NAD83 ,PRVD02,MSL = PRVD02 - 0.01583,1,https://noaa-nos-coastal-lidar-pds.s3.amazonaws.com/dem/NCEI_ninth_Topobathy_PuertoRico_9525/index.html,https://noaa-nos-coastal-lidar-pds.s3.amazonaws.com/dem/NCEI_ninth_Topobathy_PuertoRico_9525/NCEI_ninth_Topobathy_PuertoRico_EPSG-4269.vrt,https://noaa-nos-coastal-lidar-pds.s3.amazonaws.com/dem/NCEI_ninth_Topobathy_PuertoRico_9525/stac/catalog.json
1,pr-usvi,usvi,ncei_cudem,3 m,TRUE,TRUE,NAD83 ,VIVD09,MSL = PRVD02 - 0.01583,1,https://noaa-nos-coastal-lidar-pds.s3.amazonaws.com/dem/NCEI_ninth_Topobathy_USVI_9529/index.html,https://noaa-nos-coastal-lidar-pds.s3.amazonaws.com/dem/NCEI_ninth_Topobathy_USVI_9529/NCEI_ninth_Topobathy_USVI_EPSG-4269.vrt,https://noaa-nos-coastal-lidar-pds.s3.amazonaws.com/dem/NCEI_ninth_Topobathy_USVI_9529/stac/catalog.json
2,pr-usvi,pr ,ncei_cudem,10 m,FALSE,TRUE,NAD83 ,PRVD02,MSL = PRVD02 - 0.01583,2,https://noaa-nos-coastal-lidar-pds.s3.amazonaws.com/dem/NCEI_third_Topobathy_PuertoRico_9524/index.html,https://noaa-nos-coastal-lidar-pds.s3.amazonaws.com/dem/NCEI_third_Topobathy_PuertoRico_9524/NCEI_third_Topobathy_PuertoRico_EPSG-4269.vrt,https://noaa-nos-coastal-lidar-pds.s3.amazonaws.com/dem/NCEI_third_Topobathy_PuertoRico_9524/stac/catalog.json
3,pr-usvi,usvi,ncei_cudem,10 m,FALSE,TRUE,NAD83 ,VIVD09,MSL = PRVD02 - 0.01583,2,https://noaa-nos-coastal-lidar-pds.s3.amazonaws.com/dem/NCEI_third_Topobathy_USVI_9528/index.html,https://noaa-nos-coastal-lidar-pds.s3.amazonaws.com/dem/NCEI_third_Topobathy_USVI_9528/NCEI_third_Topobathy_USVI_EPSG-4269.vrt,https://noaa-nos-coastal-lidar-pds.s3.amazonaws.com/dem/NCEI_third_Topobathy_USVI_9528/stac/catalog.json
4,pr-usvi,pr-usvi,ncei_crm,30 m,TRUE,TRUE,WGS84,MSL,,3,https://www.ngdc.noaa.gov/thredds/fileServer/crm/cudem/crm_vol9_2023.nc,None,None
5,pr-usvi,pr-usvi,usgs_3dep,10m,TRUE,FALSE,NAD83,MSL,,4,https://lynker-spatial.s3-us-west-2.amazonaws.com/gridded-resources/prvi_dem.tif,None,None
